Nome do Repositório Python,Estrelas Python,Watchers Python,Forks Python,Data de Criação Python,Releases Python,Anos de Vida Python,Nome do Repositório Java,Estrelas Java,Watchers Java,Forks Java,Data de Criação Java,Releases Java,Anos de Vida Java
cloudtools/awacs,324,17,89,27/03/2013,23,7,google/tink,10616,375,816,06/06/2014,17,6
jrfonseca/xdot.py,579,38,112,12/05/2013,0,7,IBM-Cloud/todo-apps,196,60,297,30/04/2014,0,6
purcellconsult/Cracking-Python-Bootcamp,280,35,64,14/05/2019,0,1,kaitai-io/kaitai_struct,2111,89,112,20/02/2016,0,4
openlawlibrary/pygls,113,14,26,04/06/2018,0,2,puremourning/vimspector,1206,43,62,20/05/2018,150,2
ikotler/pythonect,190,18,32,01/04/2012,0,8,intel-iot-devkit/tinyb,203,35,89,21/08/2015,1,5
jeanqasaur/jeeves,330,36,28,10/01/2014,0,6,propensive/fury,336,23,34,29/09/2018,0,2
Pyomo/pyomo,787,58,267,27/05/2016,0,4,koraktor/steam-condenser,354,25,60,23/03/2009,0,11
huggingface/100-times-faster-nlp,309,10,65,11/06/2018,0,2,jirutka/rsql-parser,427,39,99,29/08/2011,0,9
microsoft/Cognitive-LUIS-Python,103,52,48,04/09/2016,0,4,timbod7/adl,156,6,15,17/12/2013,19,7
pulumi/pulumi,6668,137,349,31/10/2016,16,4,metaparticle-io/package,494,34,57,03/10/2017,0,3
nim-lang/Nim,10034,311,1043,16/08/2010,0,10,chen3feng/blade-build,1440,158,407,22/08/2012,2,8
douban/linguist,128,20,31,10/01/2013,0,7,VAR-solutions/Algorithms,515,27,890,01/10/2018,0,2
emacs-lsp/lsp-mode,2864,112,430,02/12/2016,9,4,antlr/antlr4,8507,365,2003,04/02/2010,19,10
vim-vdebug/vdebug,1206,45,154,08/06/2012,2,8,wurstscript/WurstScript,199,18,27,29/02/2012,0,8
mraza007/Python-for-beginners,148,11,39,28/05/2018,0,2,marlonlom/timeago,262,3,58,19/11/2016,8,4
JaidedAI/EasyOCR,8375,209,728,14/03/2020,4,0,xamarin/java.interop,106,137,34,11/02/2014,0,6
charlieg/A-Smattering-of-NLP-in-Python,150,6,46,09/07/2014,0,6,bedatadriven/renjin,462,37,79,29/12/2012,0,8
billpmurphy/hask,815,28,26,28/07/2015,0,5,kochedykov/jlibmodbus,128,24,59,05/02/2016,0,4
soumyadip007/Object-Oriented-Programming-Using-Python,178,3,182,07/02/2020,0,0,bakwc/JamSpell,333,14,53,12/11/2017,4,3
monkeylearn/monkeylearn-python,137,21,36,16/10/2015,27,5,returntocorp/semgrep,1952,35,72,13/12/2019,48,1
grantjenks/python-pattern-matching,149,9,12,21/10/2013,0,7,swkBerlin/kata-bootstraps,207,18,123,08/04/2015,0,5
hacktoberfest17/programming,264,20,757,15/10/2017,6,3,vladimirvivien/go-cshared-examples,500,25,79,18/02/2017,0,3
uber/NEAL,389,17,21,14/08/2017,0,3,Azure-Samples/cognitive-services-REST-api-samples,103,36,168,08/12/2017,152,3
NIHOPA/NLPre,147,14,23,31/03/2017,5,3,yegor256/xembly,210,16,25,31/07/2013,40,7
RDFLib/rdflib,1304,103,377,03/02/2012,4,8,mimno/Mallet,790,84,313,02/04/2014,4,6
Hexlet/patterns,156,28,32,23/02/2018,0,2,rabbitmq/hop,108,22,42,16/08/2014,29,6
coala/coala,3047,108,1309,15/05/2014,17,6,ehotinger/hackerrank,145,29,91,23/10/2013,0,7
los-cocos/cocos,557,65,136,06/05/2014,0,6,victorb/autochecker,601,8,17,12/04/2016,0,4
soumyadip007/Introduction-to-Python,230,2,232,06/02/2020,0,0,mervick/aes-everywhere,219,17,92,05/02/2018,2,2
PetrochukM/PyTorch-NLP,1792,63,212,25/02/2018,5,2,appcypher/awesome-wasm-langs,2293,98,97,15/12/2017,0,3
jpype-project/jpype,604,33,116,31/07/2012,18,8,neo4j-contrib/cypher-dsl,103,28,42,04/10/2011,5,9
qfpl/hpython,133,6,11,09/08/2017,0,3,dkpro/dkpro-core,179,28,70,12/05/2015,25,5
ZoranPandovski/design-patterns,218,15,241,13/10/2017,0,3,JaeYeopHan/algorithm_basic_java,109,5,24,28/05/2017,0,3
google/skylark,1157,52,71,02/10/2017,0,3,Bogdan-Lyashenko/codecrumbs,2377,47,85,01/05/2018,0,2
google/clif,798,61,90,17/04/2017,0,3,TehLeo/junion,152,14,5,23/04/2018,4,2
